Game,Roll,Me,Subject,Speaking Player,Count,Dice #,Successfull Challenge?
1,1,1,,Me,1,5,
,,1,,Subject,3,6,Yes
,,1,1,,,,
,,,,,,,
,,2,1,,,,
,,,3,,,,
,2,1,,Me,2,2,
,,1,1,Subject,3,2,
,,1,1,Me,1,3,
,,,1,Subject,2,4,No
,,1,1,,,,
,,,1,,,,
,3,1,,Subject,2,2,
,,1,2,Me,3,2,
,,1,1,Subject,1,6,
,,,,Me,2,6,Yes
,,,,,,,
,,1,1,,,,
,4,,,Subject,2,3,
,,1,1,Me,3,6,No
,,,1,,,,
,,,,,,,
,,,,,,,
,,3,1,,,,
,5,,,Subject,2,4,No
,,3,,,,,
,,1,,,,,
,,,2,,,,
,,,,,,,
,,,,,,,
,6,,1,Me,1,2,
,,2,,Subject,2,5,Yes
,,1,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,7,,,Subject,2,4,Yes
,,1,,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
2,1,1,2,Me,1,1,
,,,1,Subject,2,2,Yes
,,2,2,,,,
,,1,,,,,
,,1,,,,,
,,,,,,,
,2,,2,Subject,1,1,
,,1,,Me,1,2,
,,2,,Subject,2,2,
,,1,,Me,3,2,Yes
,,,1,,,,
,,1,1,,,,
,3,,,Me,2,4,
,,1,1,Subject,2,5,
,,,1,Me,2,6,No
,,2,,,,,
,,,1,,,,
,,1,1,,,,
,4,,1,Subject,2,1,
,,1,,Me,3,1,
,,,2,Subject,2,3,
,,2,,Me,1,4,
,,1,,Subject,3,3,Yes
,,,,,,,
,5,,1,Subject,2,1,Yes
,,2,1,,,,
,,,,,,,
,,2,,,,,
,,,,,,,
,,,,,,,
,6,1,,Subject,1,1,
,,,,Me,2,1,Yes
,,,,,,,
,,1,,,,,
,,2,1,,,,
,,,,,,,
,7,1,,Me,1,1,
,,2,,Subject,1,5,Yes
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
3,1,1,,Subject,1,3,
,,,,Me,2,3,
,,1,1,Subject,3,3,
,,1,1,Me,1,4,
,,1,1,Subject,3,4,
,,1,2,Me,4,4,Yes
,2,1,1,Me,1,1,
,,2,1,Subject,2,1,
,,,1,Me,2,2,
,,,1,Subject,3,2,
,,,1,Me,4,2,Yes
,,1,,,,,
,3,1,2,Me,1,2,
,,1,1,Subject,2,2,
,,,1,Me,1,3,
,,1,,Subject,2,3,
,,,1,Me,2,4,
,,,,Subject,2,5,Yes
,4,,1,Subject,1,1,
,,,1,Me,1,4,
,,,,Subject,2,6,No
,,1,,,,,
,,1,,,,,
,,1,2,,,,
,5,,1,Me,1,1,
,,,1,Subject,2,1,
,,1,,Me,2,2,Yes
,,1,1,,,,
,,,1,,,,
,,,,,,,
,6,,,Me,1,1,yes
,,1,,,,,
,,,2,,,,
,,,,,,,
,,,1,,,,
,,,1,,,,
4,1,,1,Me,1,1,
,,,1,Subject,2,1,yes
,,1,,,,,
,,1,1,,,,
,,,1,,,,
